BranchWiseSalesCollectionPartial; Sales vs Collection (Branch)
CategoryChart; Category
DivisionSalesChartPartial; Division Sales
DivisionWiseSalesCollection;Sales vs Collection (Division)
EmployeeWiseSalesChartPartial; MR Wise SAles
ExpensesTrendChartPartial; Expenses-Trend
MonthlyBranchSalesChart; Branch Sales (monthly)
monthlySalesChart; Sales (Monthly)
MonthlySalesCollectionPartial; Sales vs Collection (Monthly)
WeeklyCollectionChartPartial; Weekly Collection
monthlySalesTarget; Monthly Sales Target
MonthlyTargetCollectionPartial; Monthly Target Vs Collection
monthlyGpChartpartial; Monthly Gross Profit
PendingVoucher;Pending Voucher
BranchWiseSalesTargetPartial; BranchWise Sales Vs Target
BranchWiseTargetCollectionPartial; BranchWise Target Vs Collection
MonthlyCompanySalesChartPartial; Monthly Company Sales Chart
MonthlyCompanyPurchaseChartPartial;Monthly Company Purchase Chart
MonthlyCompanyProductionChart; Monthly company production chart
MonthlyCompanyExpenseChart; Monthly Company Expense Chart
MonthlyCompanyPurchaseBranchWise; Monthly Company Purchase BranchWise
MonthlyCompanyStockChart; Monthly Company Stock Chart
MonthlyCompanyBankBalanceChart; MultiCompany BankBalance Chart
MonthlyCompanyCashBalanceChart; MultiCompany CashBalance Chart
SalesProductRateChart; ProductWise Rate Chart

SalesChartFiscalYear; Sales Chart Fiscal Year
SalesChartBranchWiseFiscalYear; Sales Chart BranchWise Fiscal Year

SalesChartBranchWiseFiscalYearBhairahawa_BKU; Sales Chart Bhairahawa
SalesChartBranchWiseFiscalYearBiratnagar_BKU; Sales Chart Biratnagar
SalesChartBranchWiseFiscalYearBirgunj_BKU; Sales Chart Birgunj
SalesChartBranchWiseFiscalYearButwal_BKU; Sales Chart Butwal
SalesChartBranchWiseFiscalYearFactory_BKU; Sales Chart Factory
SalesChartBranchWiseFiscalYearGaurigunj_BKU; Sales Chart Gaurigunj
SalesChartBranchWiseFiscalYearKathmandu_BKU; Sales Chart Kathmandu
SalesChartBranchWiseFiscalYearNarayanghat_BKU; Sales Chart Narayanghat
SalesChartBranchWiseFiscalYearNepalgunj_BKU; Sales Chart Nepalgunj

SalesChartBranchWiseFiscalYearBhairahawa_DCU; Sales Chart Bhairahawa
SalesChartBranchWiseFiscalYearBiratnagar_DCU; Sales Chart Biratnagar
SalesChartBranchWiseFiscalYearBirgunj_DCU; Sales Chart Birgunj
SalesChartBranchWiseFiscalYearButwal_DCU; Sales Chart Butwal
SalesChartBranchWiseFiscalYearFactory_DCU; Sales Chart Factory
SalesChartBranchWiseFiscalYearKathmandu_DCU; Sales Chart Kathmandu
SalesChartBranchWiseFiscalYearNarayanghat_DCU; Sales Chart Narayanghat
SalesChartBranchWiseFiscalYearNepalgunj_DCU; Sales Chart Nepalgunj
