BranchWiseSalesCollectionPartial; Sales vs Collection (Branch)
CategoryStockLevel;Cagetory wise Avg Stock
CategoryChart; Category wise Sales
ShopWiseNoOfBill;No of Bill Count (Branch)
MonthlyBranchBillCount;No of Bill Count (Branch/Monthly)
AreaChart;Area wise Sales
AreaWiseSalesCollectionPartial;Area wise Sales & Collection
AreaEmployeeChart;Area Employee wise Sales
AreaDealerChart;Area Dealer wise sales
StockValuationChart;Category wise Stock Value
DivisionSalesChartPartial; Division wise Sales
DivisionWiseSalesCollection;Sales vs Collection (Division)
EmployeeWiseSalesChartPartial; MR wise Sales
ExpensesTrendChartPartial; Expenses-Trend
MonthlyBranchSalesChart; Branch wise Sales (Monthly)
monthlySalesChart; Monthly Sales
MonthlySalesCollectionPartial; Monthly Sales vs Collection
WeeklyCollectionChartPartial; Weekly Collection
monthlySalesTarget; Sales vs Target (Monthly)
MonthlyTargetCollectionPartial; Collection Target Vs Actual (Monthly)
monthlyGpChartpartial; Gross Profit (Monthly)
PendingVoucher;Pending Voucher
BranchWiseSalesTargetPartial; Branch wise Sales Vs Target
BranchWiseTargetCollectionPartial; Branch wise Collection Target Vs Actual
MonthlyCompanySalesChartPartial; Company wise Sales (Monthly)
MonthlyCompanyPurchaseChartPartial;Company wise Purchase (Monthly)
MonthlyCompanyProductionChart; Company wise Production (Monthly)
MonthlyCompanyExpenseChart; Company wise Expense (Monthly)
MonthlyCompanyPurchaseBranchWise; Company/Branch wise Purchase
MonthlyCompanyStockChart; Monthly Company Stock Chart XXXXX
MonthlyCompanyBankBalanceChart; Company wise Bank Balance
MonthlyCompanyCashBalanceChart; Company wise Cash Balance
SalesProductRateChart; Product wise Rate
SalesChartFiscalYear; Sales Chart Fiscal Year
SalesChartBranchWiseFiscalYear; Sales Chart BranchWise Fiscal Year
SalesChartBranchWiseFiscalYearHeadOffice_NNP; Sales Chart Head Office Kamaladi
SalesChartBranchWiseFiscalYearMaitigharBranch_NNP; Sales Chart Maitighar Branch
SalesChartBranchWiseFiscalYearCivilMallBranch_NNP; Sales Chart Civil Mall Branch
SalesChartBranchWiseFiscalYearNewroadBranch_NNP; Sales Chart Newroad Branch
SalesChartBranchWiseFiscalYearServiceCenter_NNP; Sales Chart Service Center
SalesChartBranchWiseFiscalYearNarayanghatBranch_NNP; Sales Chart Narayanghat Branch
SalesChartBranchWiseFiscalYearBiratnagarBranch_NNP; Sales Chart Biratnagat Branch
SalesChartBranchWiseFiscalYearLazimpatBranch_NNP; Sales Chart Lazimpat Branch
SalesChartBranchWiseFiscalYearJawlakhelBranch_NNP; Sales Chart Jawalakhel Branch
SalesChartBranchWiseFiscalYearLabimMall_NNP; Sales Chart Labim Mall
SalesChartBranchWiseFiscalYearPakoNewroad_NNP; Sales Chart Pako Newroad
SalesAnalysis; Sales Analysis
topSalesEmployeeChart; Top Sales Employee
topSalesDealer; Top Sales Dealer
CashDetail; Cash Details
BankLoanMTD; Bank Loan MTD
BankLoanYTD; Bank Loan YTD
ExpenseDetail; Expense Details
SalesAchieveMTD; Sales Achieve MTD
SalesAchieveMTDDivision;Sales Achived Division MTD
SalesAchieveYTD; Sales Achieve YTD
SalesAchieveYTDDivision;Sales Achived Division YTD
AveragePurchaseRateRawMaterialMTD; MTD Avg Purchase Rate (RAW)
AveragePurchaseRateRawMaterialYTD; YTD Avg Purchase Rate (RAW)
SaudaQuantityMTD; MTD Sauda (Quantity)
SaudaQuantityYTD; YTD Sauda (Quantity)
SaudaAveragePurchaseRateMTD; MTD Sauda (Avg. Rate)
SaudaAveragePurchaseRateYTD; YTD Sauda (Avg. Rate)
PendingOrders; Pending Order
Alerts;Alerts
NeoSalesShopWise;Neo Sales Shop Wise
HighestSellingSku; Highest Selling Sku
Dashboardwidgetd;dashboardwidget
TreewiseSalesReport; Treewise Sales Report
DebtorsOutStandingChart;Creditors Aging
MonthlyTargetGoalGoldenOakDivision;Division Goal(Gloden Oak)
MonthlyTargetGoalRuslanDivision;Division Goal(Ruslan)
MonthlyTargetGoalRoyalTraserDivision;Division Goal(Royal)
MonthlyTargetGoalBlueDiamondDivision;Division Goal(Blue Diamond)
MonthlyTargetGoalUltimateGinDivision;Division Goal(Ultimate)
MonthlyTargetGoalWarsteinerBeerDivision;Division Goal(Warsteriner Beer)
VisitMapHeatMap;VisitMapHeatMap
HeatMapRuslanSales;HeatMap Ruslan Sales
MonthlySalesPlanChart;Monthly Sales Plan
EmployeeWiseSalesPlanChart;Employee wise Sales Plan
DivisionWiseSalesPlanChart;Division wise Sales Plan
MonthlyProcurementPlanChart;Monthly Procurement Plan
MonthlyProductionPlanChart;Monthly Production Plan
MonthlyLedgerPlanChart;Monthly Ledger Plan
MonthlyBudgetPlanChart;Monthly Budget Plan
SalesAchieveProjectedYTD;SalesAchieveProjectedYTD
SalesAchieveProjectedMTD;SalesAchieveProjectedMTD
TreewiseSalesReportDealer;Dealer Group Wise Sales
MonthlyAreaSalesChart;Area wise Sales (Monthly)
MonthlyPurchaseGroup;Item Purchase(Monthly)
BranchWiseSalesProjectionWithTargetPartial; Sales Achieve Vs Sales Projection Chart
TreewiseCustomerCollection;Customer Collection Tree
TreewiseThisMonthCollection;This Month Collection Tree
BankDetail;Bank Balance
MonthlyShortTermLoan;Monthly ShortTerm Loan
MonthlyLongTermLoan;Monthly LongTerm Loan
BranchWiseSSegment;Segment Wise Sales VS Target
AgingFinishedGood;Aging Finished Goods
AgingRM;Aging RM
AgingSPN;Aging SPN
AgingCustomerWise;Customer Wise Aging
SlowMovingItemSku;Slow Moving Item
NonMovingItemSku;Non Moving Item
DashBoardSalesOverAll;DashBoard Sales Overall
TreeWiseKiranShoesSalesFullScreen;kiran Shoes Sales custom
